route,FL_DATE,avg_arr_delay,avg_dep_delay,flights
ATL-DHN,2020-01-01,-10.061855670103093,-0.29896907216494845,97
ATL-DSM,2018-08-01,-2.4193548387096775,6.193548387096774,93
ATL-DSM,2020-01-01,-13.304878048780488,-2.0120481927710845,83
ATL-DTW,2018-08-01,8.635270541082164,16.34669338677355,499
ATL-DTW,2020-01-01,-7.446927374301676,-0.35195530726256985,358
ATL-ECP,2018-08-01,4.940540540540541,10.435483870967742,186
ATL-ECP,2020-01-01,-8.11111111111111,-2.4753086419753085,162
ATL-EGE,2020-01-01,-14.266666666666667,-0.8,30
ATL-ELM,2020-01-01,1.0,-3.0,1
ATL-ELP,2018-08-01,-8.914634146341463,8.168674698795181,83
ATL-ELP,2020-01-01,-13.636363636363637,0.43636363636363634,55
ATL-EVV,2018-08-01,11.626373626373626,16.395604395604394,92
ATL-EVV,2020-01-01,-10.974025974025974,-2.4805194805194803,77
ATL-EWN,2018-08-01,8.852459016393443,10.903225806451612,62
ATL-EWN,2020-01-01,-10.94,-3.44,50
ATL-EWR,2018-08-01,27.31076388888889,34.251724137931035,580
ATL-EWR,2020-01-01,-11.475982532751091,-1.2270742358078603,458
ATL-EYW,2018-08-01,5.379032258064516,13.225806451612904,124
ATL-EYW,2020-01-01,-10.827338129496402,-3.7285714285714286,140
ATL-FAR,2020-01-01,-12.428571428571429,-0.14285714285714285,7
ATL-FAY,2018-08-01,3.8333333333333335,6.068493150684931,149
ATL-FAY,2020-01-01,-7.213675213675214,0.17796610169491525,118
ATL-FCA,2018-08-01,3.5,-2.5,4
ATL-FLL,2018-08-01,4.490616621983914,11.465863453815262,747
ATL-FLL,2020-01-01,-7.248175182481752,-1.0626822157434401,686
ATL-FNT,2018-08-01,0.2159090909090909,5.364705882352941,89
ATL-FNT,2020-01-01,-11.321428571428571,-2.107142857142857,84
ATL-FSD,2018-08-01,4.866666666666666,17.9,30
ATL-FSD,2020-01-01,-13.08695652173913,-1.608695652173913,23
ATL-FSM,2018-08-01,7.161290322580645,10.306451612903226,62
ATL-FSM,2020-01-01,-7.404255319148936,-1.127659574468085,47
ATL-FWA,2018-08-01,6.704918032786885,11.78688524590164,122
ATL-FWA,2020-01-01,-15.0,-0.5306122448979592,98
ATL-GNV,2018-08-01,6.075376884422111,7.4088669950738915,203
ATL-GNV,2020-01-01,-10.823834196891191,-2.7305699481865284,193
ATL-GPT,2018-08-01,11.873239436619718,17.183098591549296,143
ATL-GPT,2020-01-01,-11.204918032786885,-2.304,125
ATL-GRB,2018-08-01,22.705882352941178,29.20408163265306,52
ATL-GRB,2020-01-01,-17.04,10.076923076923077,26
ATL-GRR,2018-08-01,-3.04,6.133333333333334,150
ATL-GRR,2020-01-01,-9.447761194029852,-1.6814814814814816,135
ATL-GSO,2018-08-01,1.327659574468085,5.588983050847458,236
ATL-GSO,2020-01-01,-8.224880382775119,-2.2583732057416266,209
ATL-GSP,2018-08-01,4.327217125382263,11.149847094801224,327
ATL-GSP,2020-01-01,-11.143790849673202,-2.1633986928104574,306
ATL-GTR,2018-08-01,4.735632183908046,9.627906976744185,89
ATL-GTR,2020-01-01,-8.505263157894737,3.0729166666666665,96
ATL-HDN,2020-01-01,-14.161290322580646,-1.5161290322580645,31
ATL-HHH,2020-01-01,-12.917808219178083,-2.986666666666667,75
ATL-HNL,2018-08-01,-16.1,5.193548387096774,31
ATL-HNL,2020-01-01,-21.724137931034484,1.9333333333333333,30
ATL-HOU,2018-08-01,4.308093994778068,10.934725848563968,383
ATL-HOU,2020-01-01,-9.731884057971014,-0.5217391304347826,276
ATL-HPN,2018-08-01,12.873096446700508,16.74871794871795,201
ATL-HPN,2020-01-01,-13.173410404624278,-3.040462427745665,173
ATL-HSV,2018-08-01,-0.5043103448275862,5.93073593073593,232
ATL-HSV,2020-01-01,-11.062200956937799,-3.411483253588517,209
ATL-IAD,2018-08-01,4.11578947368421,9.223684210526315,380
ATL-IAD,2020-01-01,-9.421052631578947,-1.6754385964912282,342
ATL-IAH,2018-08-01,2.9391304347826086,6.323210412147505,461
ATL-IAH,2020-01-01,-8.980295566502463,-2.2241379310344827,406
ATL-ICT,2018-08-01,-0.3695652173913043,5.793478260869565,92
ATL-ICT,2020-01-01,-9.868421052631579,-1.644736842105263,76
ATL-ILM,2018-08-01,3.1801242236024843,9.24223602484472,163
ATL-ILM,2020-01-01,-9.0,-0.9765625,128
ATL-IND,2018-08-01,-2.1076115485564304,5.0863874345549736,382
ATL-IND,2020-01-01,-9.592833876221498,-0.4820846905537459,307
ATL-ISP,2018-08-01,8.333333333333334,5.666666666666667,6
ATL-ISP,2020-01-01,-19.916666666666668,-0.08333333333333333,12
ATL-JAC,2018-08-01,-2.3333333333333335,0.4166666666666667,12
ATL-JAC,2020-01-01,-13.3,1.4545454545454546,11
ATL-JAN,2018-08-01,-1.1690821256038648,5.72463768115942,207
ATL-JAN,2020-01-01,-8.737623762376238,-2.502463054187192,203
ATL-JAX,2018-08-01,5.336734693877551,11.114285714285714,490
ATL-JAX,2020-01-01,-7.2272727272727275,-0.9251336898395722,374
ATL-JFK,2018-08-01,22.2809364548495,33.88079470198676,302
ATL-JFK,2020-01-01,-9.17142857142857,-0.11836734693877551,245
ATL-LAS,2018-08-01,4.176178660049628,11.883663366336634,404
ATL-LAS,2020-01-01,-11.330357142857142,0.8779761904761905,336
ATL-LAX,2018-08-01,4.463986599664992,14.12395309882747,597
ATL-LAX,2020-01-01,-12.70353982300885,1.3938053097345133,452
ATL-LEX,2018-08-01,7.736607142857143,13.269911504424778,228
ATL-LEX,2020-01-01,-12.043478260869565,-1.7536231884057971,207
ATL-LFT,2018-08-01,2.091666666666667,8.883333333333333,120
ATL-LFT,2020-01-01,-11.246753246753247,-1.575,80
ATL-LGA,2018-08-01,14.41044776119403,20.401730531520396,809
ATL-LGA,2020-01-01,-12.430700447093889,-0.7410714285714286,672
ATL-LIT,2018-08-01,0.9900497512437811,6.91044776119403,201
ATL-LIT,2020-01-01,-9.294444444444444,-2.55,180
ATL-LNK,2018-08-01,8.68,15.75,25
ATL-LNK,2020-01-01,-12.954545454545455,0.045454545454545456,22
ATL-MBS,2020-01-01,-29.0,-13.0,1
ATL-MCI,2018-08-01,1.0862533692722371,10.42627345844504,373
ATL-MCI,2020-01-01,-9.165441176470589,-1.4927007299270072,274
ATL-MCO,2018-08-01,6.238825031928481,11.955470737913487,786
ATL-MCO,2020-01-01,-8.613573407202216,-1.2265193370165746,724
ATL-MDT,2018-08-01,-1.6477272727272727,7.511363636363637,88
ATL-MDT,2020-01-01,-13.243589743589743,-2.9871794871794872,78
ATL-MDW,2018-08-01,0.4585492227979275,9.36503856041131,389
