route,FL_DATE,flights
AUS-SJC,2020-01-01,123
AUS-SLC,2018-08-01,95
AUS-SLC,2020-01-01,85
AUS-SMF,2018-08-01,31
AUS-SMF,2020-01-01,25
AUS-SNA,2018-08-01,9
AUS-STL,2018-08-01,57
AUS-STL,2020-01-01,52
AUS-TPA,2018-08-01,40
AUS-TPA,2020-01-01,53
AUS-VPS,2018-08-01,9
AVL-ATL,2018-08-01,231
AVL-ATL,2020-01-01,164
AVL-BWI,2018-08-01,9
AVL-BWI,2020-01-01,1
AVL-CLT,2018-08-01,216
AVL-CLT,2020-01-01,149
AVL-DEN,2018-08-01,10
AVL-DFW,2018-08-01,3
AVL-DFW,2020-01-01,33
AVL-EWR,2018-08-01,46
AVL-EWR,2020-01-01,13
AVL-FLL,2018-08-01,35
AVL-FLL,2020-01-01,43
AVL-LGA,2018-08-01,2
AVL-LGA,2020-01-01,7
AVL-MCO,2020-01-01,20
AVL-ORD,2018-08-01,105
AVL-ORD,2020-01-01,46
AVL-PBI,2020-01-01,8
AVL-PGD,2018-08-01,16
AVL-PGD,2020-01-01,6
AVL-PHL,2020-01-01,27
AVL-PIE,2018-08-01,28
AVL-PIE,2020-01-01,41
AVL-SFB,2018-08-01,19
AVL-SFB,2020-01-01,50
AVL-SRQ,2020-01-01,8
AVP-ATL,2018-08-01,31
AVP-ATL,2020-01-01,25
AVP-CLT,2018-08-01,105
AVP-CLT,2020-01-01,84
AVP-DTW,2018-08-01,89
AVP-DTW,2020-01-01,66
AVP-EWR,2018-08-01,48
AVP-ORD,2018-08-01,112
AVP-ORD,2020-01-01,51
AVP-PHL,2018-08-01,105
AZA-ATW,2018-08-01,8
AZA-ATW,2020-01-01,8
AZA-BIL,2018-08-01,10
AZA-BIL,2020-01-01,13
AZA-BIS,2018-08-01,9
AZA-BIS,2020-01-01,20
AZA-BLI,2018-08-01,13
AZA-BLI,2020-01-01,8
AZA-BLV,2020-01-01,7
AZA-BOI,2018-08-01,9
AZA-BOI,2020-01-01,6
AZA-BZN,2018-08-01,10
AZA-BZN,2020-01-01,9
AZA-CID,2018-08-01,12
AZA-CID,2020-01-01,11
AZA-CVG,2018-08-01,9
AZA-CVG,2020-01-01,8
AZA-DSM,2018-08-01,9
AZA-DSM,2020-01-01,4
AZA-EUG,2018-08-01,9
AZA-EUG,2020-01-01,6
AZA-FAR,2018-08-01,13
AZA-FAR,2020-01-01,19
AZA-FCA,2020-01-01,5
AZA-FSD,2018-08-01,13
AZA-FSD,2020-01-01,18
AZA-FWA,2020-01-01,4
AZA-GFK,2018-08-01,4
AZA-GFK,2020-01-01,6
AZA-GJT,2020-01-01,8
AZA-GRI,2018-08-01,9
AZA-GRI,2020-01-01,7
AZA-GRR,2018-08-01,10
AZA-GRR,2020-01-01,16
AZA-GTF,2018-08-01,9
AZA-GTF,2020-01-01,8
AZA-ICT,2018-08-01,9
AZA-ICT,2020-01-01,5
AZA-IDA,2018-08-01,13
AZA-IDA,2020-01-01,3
AZA-LAS,2018-08-01,14
AZA-LAS,2020-01-01,6
AZA-MFE,2020-01-01,6
AZA-MFR,2018-08-01,4
AZA-MLI,2018-08-01,6
AZA-MLI,2020-01-01,6
AZA-MOT,2018-08-01,9
AZA-MOT,2020-01-01,11
AZA-MSO,2018-08-01,10
AZA-MSO,2020-01-01,8
AZA-OAK,2018-08-01,14
AZA-OAK,2020-01-01,6
AZA-OGD,2018-08-01,9
AZA-OGD,2020-01-01,7
AZA-OMA,2018-08-01,9
AZA-OMA,2020-01-01,4
AZA-PIA,2018-08-01,9
AZA-PIA,2020-01-01,8
AZA-PSC,2018-08-01,9
AZA-PSC,2020-01-01,6
AZA-PVU,2018-08-01,40
AZA-PVU,2020-01-01,38
AZA-RAP,2018-08-01,14
AZA-RAP,2020-01-01,13
AZA-RDM,2020-01-01,4
AZA-RFD,2018-08-01,9
AZA-RFD,2020-01-01,7
AZA-SBN,2018-08-01,9
AZA-SBN,2020-01-01,4
AZA-SCK,2018-08-01,9
AZA-SCK,2020-01-01,7
AZA-SGF,2018-08-01,10
AZA-SGF,2020-01-01,7
AZA-STC,2018-08-01,4
AZA-STC,2020-01-01,8
AZA-TVC,2020-01-01,6
AZA-XNA,2020-01-01,8
AZO-DTW,2018-08-01,145
AZO-DTW,2020-01-01,98
AZO-MSP,2018-08-01,54
AZO-MSP,2020-01-01,24
AZO-ORD,2018-08-01,145
AZO-ORD,2020-01-01,83
BDL-ATL,2018-08-01,207
BDL-ATL,2020-01-01,179
BDL-BWI,2018-08-01,185
BDL-BWI,2020-01-01,131
BDL-CLE,2018-08-01,27
BDL-CLE,2020-01-01,21
BDL-CLT,2018-08-01,179
BDL-CLT,2020-01-01,158
BDL-CVG,2018-08-01,27
BDL-CVG,2020-01-01,22
BDL-DCA,2018-08-01,227
BDL-DCA,2020-01-01,137
BDL-DEN,2018-08-01,65
BDL-DEN,2020-01-01,36
BDL-DFW,2018-08-01,60
BDL-DFW,2020-01-01,20
BDL-DTW,2018-08-01,120
BDL-DTW,2020-01-01,122
